year,month,model_price,world_stock,obs_price,grain,subst_scale,leg
2021,10,191.8438309609803,643.8015595536251,219.0100963391137,maize,0.0,shocks
2021,11,201.46804459817048,800.7201951298924,227.32809248554912,maize,0.0,shocks
2021,12,195.27370005517596,738.1830946415148,241.7703275529865,maize,0.0,shocks
2022,1,196.74070179536764,624.1843976304481,235.47440401505648,maize,0.0,shocks
2022,2,191.13047636679602,542.4952955354239,249.09548306148056,maize,0.0,shocks
2022,3,205.66631197510026,486.6777861602826,285.61700125470514,maize,0.0,shocks
2022,4,205.72567726656047,432.2799431079543,296.42873274780425,maize,0.0,shocks
2022,5,203.3546217244617,364.0628878859167,293.5342534504391,maize,0.0,shocks
2022,6,208.40917852413116,282.27720599119573,285.7872647427854,maize,0.0,shocks
2022,7,243.12121707011931,183.4370906243582,274.9755332496863,maize,0.0,shocks
2022,8,280.8606966023952,102.87116636759616,246.71179422835633,maize,0.0,shocks
2022,9,270.44592816954287,302.81042771702346,266.2069636135508,maize,0.0,shocks
2022,10,258.2817066986487,595.3634283442448,292.5126725219573,maize,0.0,shocks
2022,11,264.34972717784086,740.4301662550072,273.1877666248431,maize,0.0,shocks
2022,12,261.13170625997117,688.2701212431587,257.26813048933496,maize,0.0,shocks
2023,1,265.04614807142195,588.7473983499526,265.2944994064108,maize,0.0,shocks
2023,2,263.67268061475227,513.6717860071733,261.2642659279779,maize,0.0,shocks
2023,3,293.8640635507762,462.1027328848937,247.50890383854377,maize,0.0,shocks
2023,4,325.3135471074478,415.0952157528011,255.04368816778793,maize,0.0,shocks
2023,5,330.4850074882236,357.2562835605043,234.8925207756233,maize,0.0,shocks
2023,6,320.82371622459533,285.8238277039861,233.84115552037989,maize,0.0,shocks
2023,7,320.92356365229205,195.5245730895416,212.37578155916108,maize,0.0,shocks
2023,8,330.74059743623974,108.55211480803013,181.8861891571033,maize,0.0,shocks
2023,9,313.06873806167937,321.27315950882485,196.0796201028888,maize,0.0,shocks
2023,10,281.7223005228053,638.5525706291924,202.12497032053815,maize,0.0,shocks
2023,11,265.0205821955316,795.9429896800752,185.1278986941037,maize,0.0,shocks
2023,12,252.92736710936992,737.643563904063,180.92243767313025,maize,0.0,shocks
2021,1,292.34310990668115,659.9245804440691,214.3483622350674,maize,0.0,tau
2021,2,348.3122608296035,586.5349301783401,224.12886319845856,maize,0.0,tau
2021,3,406.71460509247805,545.8578455907033,224.12886319845856,maize,0.0,tau
2021,4,467.4547456956613,514.4855238711763,245.15236994219651,maize,0.0,tau
2021,5,528.4005915277307,473.2003619940217,279.06420038535646,maize,0.0,tau
2021,6,577.1104030442868,419.6821688831561,267.45556840077074,maize,0.0,tau
2021,7,586.5096084824246,348.0201314915926,254.47583815028895,maize,0.0,tau
2021,8,572.070245442275,274.71773228587824,234.54921001926783,maize,0.0,tau
2021,9,560.0453153776705,497.4651011811766,215.35383429672444,maize,0.0,tau
2021,10,576.5431554445344,824.5229955053723,219.0100963391137,maize,0.0,tau
2021,11,606.7355279552448,981.6560631757243,227.32809248554912,maize,0.0,tau
2021,12,605.0366030518946,928.4200843437835,241.7703275529865,maize,0.0,tau
2022,1,601.5519458284236,827.8445047410798,235.47440401505648,maize,0.0,tau
2022,2,595.7770037193911,756.9612856776425,249.09548306148056,maize,0.0,tau
2022,3,591.7070100518116,716.1301846903602,285.61700125470514,maize,0.0,tau
2022,4,589.3055157418988,680.1185113968259,296.42873274780425,maize,0.0,tau
2022,5,588.5222256147727,632.4899724928105,293.5342534504391,maize,0.0,tau
